review_id,review_text,rating,date,theme_1,theme_2_optional,is_churn_risk,your_summary_note
d32eddac-79f4-4d7e-83f7-4765f5740650,"good products, complex app and incompetent staff booked for wall panelling, survey and assessment was done on very next day to my satisfaction. however it's over 3 weeks now and managers at UC are unable to provide me with a quotation. moreover app is not user friendly it takes lots of time to get to the latest quote shared by manager and once you reach their you only fing that this too is inaccurate. tired of explaining Swatik and now eventually give up.",2,2026-07-25 13:19:16,,,,
788075c6-e91d-44da-8eaf-29e7fcdff645,instant home maid required,3,2026-07-20 17:26:36,,,,
640f5dce-92d8-4d04-9b53-c6303036a9c6,acction process little slow,4,2026-07-27 13:54:10,,,,
74a99929-2372-48df-a9e2-bb5633571a13,third calssss company farud by money charges the person who came to visit they say different and app show different in total visitor person ask more money worst service,1,2026-07-27 19:33:36,,,,
b3d1e742-d8ed-4cde-97f3-eb6fbc981c42,too many cancellations and change of preferred professional,4,2026-07-21 10:44:57,,,,
85161256-53c9-4735-9802-b4d0cb4746a6,Add more offers for repeated customers.,4,2026-07-19 21:32:22,,,,
5beb4545-90aa-4784-ab5d-3d6a6c756fc7,Why did you replace humans with AI chatbot for support. Your AI chatbot apologizes without giving a resolution for the problem and refuses to connect to a human agent. Whose idea was this?,2,2026-07-27 10:14:33,,,,
75e125f4-6ebf-4a55-a824-160dc4e88f50,very expensive charges n,2,2026-07-21 11:37:28,,,,
b9d282e1-962d-4660-9b42-eb580248e19a,"They leave the customer high and dry , to deal with their own issue if you buy their product like water purifier. They are not able to manage professional for servicing in 5-6 days and keeps rescheduling daily , irritating the customers.",1,2026-07-27 21:11:42,,,,
4f943dfd-7808-415b-b8c9-5aabfe654b67,"it is good for a carpenter and great for bathroom cleaning services but the problems I faced with the salon prime. My bookings got cancelled 3 times. and 4th and 5th time the payment failed. I was so frustrated , it wasted a lot of my time. Also I don't like that it shows 599 charge for a service and when you go to the payment page the bill is up to 700 -800 something",3,2026-07-21 14:10:22,,,,
dc5e70dc-01d1-4589-a96b-6f27ace6da8d,only bot is answering,1,2026-07-25 12:15:34,,,,
77f310ae-8528-4f54-9f8d-387fe95a69ce,Good Service in prompt timing,4,2026-07-21 19:22:18,,,,
117e4be8-8046-4cb8-8670-44a3d8c238fc,few services could be clubbed and charged less rather than unnecessary double service charges.,4,2026-07-26 10:36:49,,,,
366a04fc-dad3-413c-bcd5-f0a5ca4a3fad,"bad service by fridge repair technician. technician from urban came changed parts, and said fridge would work properly and cooling would take 6 to 6 hours. even after 24 hours, the food in the freezer is still not frozen.",1,2026-07-27 20:11:53,,,,
a5b2d933-8079-46b6-a74e-42b177da73d8,"Rakash was very hard working,cleaned in a very good manner",5,2026-07-26 14:52:37,,,,
13d32f77-81f6-4598-bca0-57f7b03d2670,professional services provided by company,4,2026-07-24 12:32:38,,,,
4c9681a8-e14c-459b-a5a0-4ad5a9bcfdc4,shown component for services are not used by technicians. but they upload photos in their process and claim it.,3,2026-07-19 18:48:33,,,,
7d2c70d4-7ef5-440d-a7e8-53063a02f608,Over priced for services.,1,2026-07-25 23:01:07,,,,
473115bf-dbdf-4597-9d47-0ba98eb2d3a0,Good work is done.,5,2026-07-25 20:53:57,,,,
963d3d12-5d9c-4fe5-a097-2ff5f4670dae,"The employees engaged with the company are highly skilled, professional, experienced and possessing expert knowledge to provide the best services. I am associated with the Urban Company and never have any bad experience in any of the services related to Electric, Plumber, Carpenter, House Keeping etc. I hope the continuation of the best services in the future also..",5,2026-07-25 10:51:30,,,,
77f0b288-5903-4752-b640-cac61d04ee31,The company's new direction is retrograde. There's no increase in the coverage area. It's not expanding in to the new potential areas and not even trying. Please increase your service areas. Areas like Kalyani westbengal... Near AIIMS and Midnapure Town.,3,2026-07-20 10:50:52,,,,
79e396c0-dcc7-4b6c-86cc-30c039a18d68,very useful app.,5,2026-07-26 16:04:49,,,,
a11c58ef-1d4e-478b-a6c7-6b2ec94de2f8,Thanks to UC for giving us this convenience.,5,2026-07-22 16:34:19,,,,
4776a39a-b36e-443c-80c9-cd7b59f60d5f,"UC's ""Native"" brand filter's electrical connectors are not compatible with Kent products. This necessitated cutting the wires and hot connecting and wrapping with common insulation tape. It is a potent electrical short circuit hazard and may lead to damages.",4,2026-07-23 19:08:41,,,,
0222c90a-ffbf-47e5-998d-7718b6de3192,Very good worker. He is,5,2026-07-21 12:48:53,,,,
e28f10cd-943f-4d45-badc-d4d6ba6e9388,they are charging me for something that I cancelled. now all the more reason for me to not use their service again.,2,2026-07-22 15:09:12,,,,
b9a4d447-580f-476e-a0bb-31ad4906aef1,"they offer discounted coupons to increase their userbase but does not provide service instantly. it is not that housekeeping staff is not available because when I try to book new service without offer, houskeeping staff is available instantly.. so app is clearly giving low priority for discounted coupon service..",2,2026-07-23 13:07:59,,,,
a10e5c0b-9b56-4f8d-9508-e1287bafdf90,"very worst app, I got charged for the professional unable to come and cancelled. very slow service also, every time their professional saying excuses and said unable to come, it's a spam app",1,2026-07-25 19:29:39,,,,
0eb6a19b-bb36-4af9-828c-62e1a49f88ea,"The customer support setup is the worst, AI does not respond as expected, the price shows two different numbers in two different pages and that's what UC charges.",2,2026-07-21 22:13:57,,,,
b29b3345-51a3-4434-922c-d115127f3277,"There is a bug in this app. it keeps going in a loop and norifying again and again for insta maid rating. Quite frustrating also, the app gets you to give 5 star rating by default ... otherwise you keep getting annoying notifications. please fix",3,2026-07-27 21:02:37,,,,
91f1473d-4528-429e-84fa-c1c406ed51eb,it is very nice and I am very glade to have this app but one backlog is there are reducing the works if any one are getting injured..... it's their responsibility so i felt that one backlog other than that everything is excellent💯💯👍👏👏👏,4,2026-07-26 15:20:46,,,,
75ca3f1b-fa4a-4d34-9f9b-4e9dcdfbd51e,so many times slots not available.... that's why I'm giving 3 star's..,3,2026-07-27 19:34:22,,,,
63d37100-cce7-459b-9a83-39e935f828a8,Customer support is very poor. Bots with unrelated standard replies and no proper resolution.,2,2026-07-25 09:49:36,,,,
3b5e0761-e2f9-4fc9-9ffe-54e178a40a30,"2 stars are given because you have bungalow cleaning based on bedroom, and when the team comes they see the size and run away as it happened to us day before. please along with the bedrooms request also the area of the property. furthermore we got a call from your office day before after the service failed, you had promised a discount of 10% which was not given",2,2026-07-26 19:01:42,,,,
ac3901ed-0297-4b17-8b91-cc212e36cb7f,The app has an inherent flaw. It doesn't permit a second claim on the warranty. I booked a service for the split AC unit. It was that the refrigerant had leaked and we got the issue fixed. Then the same issue came up again. It was covered under the 90 day warranty period so I booked a service request again. The 2nd time they found that the same issue of refrigerant leak had persisted after the first technician had fixed it but the app's not allowing me to book another revisit.,3,2026-07-27 00:52:10,,,,
253f88f5-a982-4acb-9697-4367ee18d519,Service rates have been increased and have removed convenient and affordable options.,3,2026-07-26 19:03:49,,,,
4a76762e-89eb-413a-b6f3-a10290fe3ee1,Not better Than Snabbit. Snabbit persons are very punctual and more professional. They also do the choras work very fast.. once booked they reach to your location within 10 minutes. Urban is not even capable to meet this kind of service quality. taking whole long day to book 1 person & that too not sure if they are gonna reach to your home. doubtful and slow. this app ask for scheduled prior booking.,2,2026-07-27 21:41:53,,,,
dcf418bd-0aaa-442b-926c-e73801775b69,excellent work by him👍,5,2026-07-22 20:19:38,,,,
b575a61b-10eb-4b08-8d25-33d97b5e5133,The service was great.,5,2026-07-22 18:07:43,,,,
42f8be4d-ff67-41c2-bde7-e494d0822f28,this app is not provided the pay later option iam booking multiple times only showing pay online upi through Today I want service I don't hava bank account amount I have only cash but app not showing pay later option,2,2026-07-24 23:42:48,,,,
392496e6-d26f-4211-a2aa-964dc04a815e,very good service,5,2026-07-22 11:55:44,,,,
16b577ad-8e68-406f-9f88-3e0fd193860a,Earlier the app was useful as I was easily able to connect with human customer care and now connected with the customer care is another challenge. From the last 3-4 hrs I am trying to get in touch with customer care but unable.,1,2026-07-23 12:39:32,,,,
8d57ba47-266f-4fd5-bd23-265aab79fda4,very nice experience,5,2026-07-20 19:24:05,,,,
d95cd5db-0905-44c9-a2a9-c952a38f8727,Experienced and helping staff. happy to take her services.,5,2026-07-26 16:34:22,,,,
25252d8c-bb15-431e-810a-80cb134f6473,it was good experience,5,2026-07-23 10:19:44,,,,
0924b71c-5517-49ad-a62c-936256a5ad5a,"The app is ok but the customer service is very bad. Even after filing a complaint, no one responded.",2,2026-07-26 16:00:57,,,,
75c05715-7ec5-4f89-bb82-76ac5cd0ca55,Thanks for UC services.,5,2026-07-24 12:17:24,,,,
8f0df221-bd59-4dab-bc1a-e42058562de4,"same person who is abusive, rude and does not do the work is assigned again and again to same house, despite multiple requests of not assigning that person.. even if called on help multiple times, they don't understand the customer requirements and do not provide good service",1,2026-07-20 11:36:49,,,,
2b966e56-360c-4a3f-a4b9-6738315c1b42,"the service promises, failure in meetings... app always saying slot not available poor response in the customer service.. needs improvement",2,2026-07-27 13:27:29,,,,
de18bfa9-5293-4f15-8a01-dc08293b755c,excellent 👌👍 UC,5,2026-07-25 12:34:17,,,,
d4b0e4f9-f847-4562-b94c-00a1afbc5277,"What I didn't like is that if you want to book a partner you've previously rated 5 stars, you're charged a higher price. Also, once I chose the ""Best Available"" option because I didn't want a particular partner again, but the app assigned me the same person I had intentionally avoided. On top of that, my preferred 8:00 a.m. time slot wasn't available under ""Best Available,"" so I had to book the more expensive option. Pricing and partner allocation needs to be much more transparent.",3,2026-07-27 00:00:25,,,,
50153dfc-f261-47f1-85d7-9edd75da9507,Good service options,5,2026-07-25 20:13:18,,,,
816b8ffc-574d-43ce-a4ec-7ae9b42cb1c2,UC staff provided me very good service (Foamjet) for 2 AC units. Value for money. Thanks,5,2026-07-21 12:36:00,,,,
79f12257-6133-4ff9-b5f4-58c4e6a49e26,"I had some unpleasantexperiences in the past and felt very unsafe with some of the staff. I raised my concerns, but I'm not sure what action, if any, was taken. The next staff member assigned to me was very good, and I've been trying to book him again, but he is never available. I've also noticed that the prices have increased by ₹200 for many time slots, and the Classic Bathroom Cleaning service has been removed. Overall, I've found the Coimbatore operations to be quite unprofessional. I am loo",2,2026-07-23 17:10:05,,,,
0ee0672d-56e2-4cdf-8bc6-ea51a2942e35,30 min service should be available. partner is not willing to do toilet cleaning is it our of scop charges are increasing for the sane amount of work.,4,2026-07-20 13:14:17,,,,
c26488fa-7d23-4566-aca8-1db6ce3b13c6,proffessionals are uesless.. they say no work and their customer service also support them i have already sent mail. received no reply even after 24 hrs..,1,2026-07-27 11:15:46,,,,
ba3290db-8047-4542-9eb0-7df0e0763b33,service will very good but kabhi kabhi booking cancel Khuli Ho Jaati Hai tumko bahut bura lagta hai,3,2026-07-26 10:31:53,,,,
372cfc16-eb51-4833-a903-a3a86df25a7e,Worst app. Amount got deducted twice but plumber service didn't get booked. Pay by cash as well is not available.,1,2026-07-27 10:21:52,,,,
c3a6ae8c-ae9b-410a-8bd8-5cc72042942c,"When you cancel my booking to ur unavailability, you ask me to reschedule for the same or next day. If same day slots are full you force a next day booking (but as I already have 1 booking for the next day)leaving me with 2 slots in a day when I only need 1 per day. You then ask me to cancel that booking instead of letting me use it within the 1 month validity. Canceling means I lose money as I booked 3 services package at a discounted rate + GST. coz will not get full refund as it's discounted",4,2026-07-21 12:49:34,,,,
1734c9de-d5d9-475e-96ce-193abb161b1c,good service provider,4,2026-07-26 15:46:39,,,,
4267045d-50f2-43b6-a3cc-6c857be59ae4,"Their professionals have a habit of cancelling at the last moment and they will not inform UC but call the customers, if they feel like it, to cancel or you can just keep waiting for them. There is no clear help and obviously they do not provide alternatives at the same slot which is very frustrating as it was selected for some reason. Recently it has become a normal practice rather than exception.",1,2026-07-26 08:29:54,,,,
